epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
20,0.993877649307251,0.6242357492446899,0.7546154856681824,0.7017219066619873,0.5876701474189758,0.016971170902252197,0.00020000001,0.7202316522598267,0.9943028092384338,0.9923931956291199,0.9980736374855042,0.992121696472168,0.603735089302063,0.735140323638916,0.5845476388931274,0.5700422525405884,0.025007339194417,0.7378670573234558,0.9925288558006287,0.9907568097114563,0.9974865317344666
21,0.9942173957824707,0.6318079233169556,0.7671664953231812,0.7035622596740723,0.6106377840042114,0.01611536182463169,4.0000003e-05,0.7637951970100403,0.9945692420005798,0.9927672147750854,0.9981627464294434,0.9926522970199585,0.6214383840560913,0.7450116276741028,0.6449847221374512,0.6007646322250366,0.022629985585808754,0.7885374426841736,0.9932100176811218,0.9910661578178406,0.9977073669433594
22,0.9943171143531799,0.6399646997451782,0.7729519605636597,0.7134852409362793,0.6165794134140015,0.015785351395606995,4.0000003e-05,0.8060222864151001,0.9946292638778687,0.9929004907608032,0.9981842637062073,0.9925297498703003,0.6218124628067017,0.7503377199172974,0.6387590765953064,0.5996260046958923,0.02275543287396431,0.7703045606613159,0.9930082559585571,0.9910119771957397,0.9976453185081482
23,0.9943304657936096,0.6404556035995483,0.77629554271698,0.7115132212638855,0.6164282560348511,0.015702152624726295,4.0000003e-05,0.8155655860900879,0.9946165084838867,0.9929279088973999,0.9981801509857178,0.9925442934036255,0.6218714118003845,0.7441766858100891,0.6397861242294312,0.5882498621940613,0.02335304021835327,0.8264936208724976,0.9930280447006226,0.9910703301429749,0.9976485967636108
24,0.9944528341293335,0.6436026096343994,0.7802284359931946,0.7170187830924988,0.6209589242935181,0.015404774807393551,8.000001e-06,0.8285611867904663,0.9947351813316345,0.9930485486984253,0.9982190132141113,0.9925967454910278,0.6236051321029663,0.7436185479164124,0.6432752013206482,0.5937469601631165,0.023157425224781036,0.8285601139068604,0.99309241771698,0.9911089539527893,0.997669517993927
25,0.9944645762443542,0.6441347002983093,0.7803534269332886,0.7172847390174866,0.6222534775733948,0.015369586646556854,8.000001e-06,0.8314775824546814,0.9947507381439209,0.993054211139679,0.9982238411903381,0.992586612701416,0.624140739440918,0.7445419430732727,0.6401419043540955,0.591392457485199,0.023356234654784203,0.8314405679702759,0.9930366277694702,0.991143524646759,0.9976522922515869
26,0.9944883584976196,0.6451268792152405,0.7809072136878967,0.7169116139411926,0.6236549019813538,0.01530300173908472,1.6000001e-06,0.8320677280426025,0.9947549700737,0.9930949807167053,0.9982255697250366,0.9926009774208069,0.6244983077049255,0.7448480725288391,0.641258955001831,0.5928042531013489,0.023263800889253616,0.8307517766952515,0.9930537343025208,0.9911478161811829,0.9976578950881958
27,0.9944872260093689,0.6456086039543152,0.7817524075508118,0.7167168855667114,0.6235417723655701,0.015293356031179428,1.6000001e-06,0.831489086151123,0.994743287563324,0.993108868598938,0.9982224106788635,0.992611825466156,0.62477707862854,0.7447248697280884,0.6425864100456238,0.5941931009292603,0.023182108998298645,0.8304975032806396,0.9930753111839294,0.9911494851112366,0.9976648092269897
28,0.9944928884506226,0.6453719735145569,0.7811846137046814,0.7175732254981995,0.6238223910331726,0.015284096822142601,1e-06,0.831853985786438,0.9947617053985596,0.9930984377861023,0.9982278347015381,0.9926159977912903,0.6249480247497559,0.7448996901512146,0.6430012583732605,0.5946549773216248,0.023150408640503883,0.8304866552352905,0.9930808544158936,0.9911521673202515,0.9976666569709778
29,0.9944949150085449,0.6454227566719055,0.7815489768981934,0.7178455591201782,0.6241977214813232,0.015278019942343235,1e-06,0.831108570098877,0.9947633743286133,0.9930979609489441,0.9982283711433411,0.9926158785820007,0.625055193901062,0.7449471354484558,0.6426902413368225,0.5945210456848145,0.023175867274403572,0.8309183120727539,0.9930753707885742,0.9911569356918335,0.9976649880409241
30,0.9944965243339539,0.6455422043800354,0.7815418839454651,0.7176714539527893,0.6239574551582336,0.015275820158421993,1e-06,0.8318315148353577,0.9947628378868103,0.9931036233901978,0.9982285499572754,0.9926159977912903,0.6251360177993774,0.7448715567588806,0.6425818800926208,0.5944980382919312,0.023194709792733192,0.8313921689987183,0.9930732250213623,0.9911596179008484,0.9976642727851868
31,0.994498074054718,0.6456782817840576,0.7815534472465515,0.7175160050392151,0.6244194507598877,0.015269770286977291,1e-06,0.8324224948883057,0.9947628378868103,0.9931064248085022,0.998228132724762,0.9926186203956604,0.6252541542053223,0.7449766993522644,0.6427816152572632,0.5947501063346863,0.023180613294243813,0.831393301486969,0.9930757284164429,0.9911624789237976,0.9976649880409241
32,0.9945003986358643,0.6459375023841858,0.7813993692398071,0.7177377939224243,0.6244699358940125,0.015263545326888561,1e-06,0.8328797221183777,0.9947614669799805,0.9931120276451111,0.9982281923294067,0.9926199316978455,0.6253686547279358,0.7452347278594971,0.6429510116577148,0.5949932336807251,0.02315734513103962,0.8310567140579224,0.9930778741836548,0.9911639094352722,0.997665524482727
33,0.9944993257522583,0.645867645740509,0.7818036675453186,0.7178934216499329,0.6243197321891785,0.015260700136423111,1e-06,0.8322594165802002,0.9947617053985596,0.9931102991104126,0.9982276558876038,0.9926194548606873,0.6254379153251648,0.7452301979064941,0.6427546143531799,0.5947721004486084,0.023180266842246056,0.8315228819847107,0.9930731058120728,0.9911661148071289,0.9976641535758972
34,0.9945012331008911,0.6459828019142151,0.7819281816482544,0.7179415225982666,0.6244810819625854,0.01525813341140747,1e-06,0.8325531482696533,0.994762122631073,0.9931122064590454,0.9982283115386963,0.9926214218139648,0.6255719661712646,0.7452593445777893,0.6428602933883667,0.595029890537262,0.023177389055490494,0.8317015767097473,0.9930746555328369,0.991169273853302,0.9976644515991211
